equipo_id,codigo_inventario,numero_serie,nombre_equipo,clase_funcional,marca,modelo,clase_riesgo,criticidad,fecha_adquisicion,costo_adquisicion,vida_util_anios,modalidad_propiedad,fecha_vencimiento_garantia,bajo_plan_mantenimiento,estrategia_mantenimiento,estado_actual
17,EQ-00017,SN-0017-25532025,Desfibrilador,Soporte vital,Mindray,MI-253,III,Alta,2011-08-02,4022000.0,14,Arriendo,2013-10-28,True,Contrato,Bueno
18,EQ-00018,SN-0018-51639572,Bomba de infusión,Soporte vital,Mindray,MI-572,III,Media,2022-06-27,1809000.0,9,Propio,2024-09-02,True,Externo,Bueno
19,EQ-00019,SN-0019-86955992,Arco C,Imagenología,Philips,PH-682,II,Media,2015-09-06,127911000.0,13,Propio,2018-08-21,True,Interno,Bueno
20,EQ-00020,SN-0020-13628638,Monitor signos vitales,Monitoreo,Edan,ED-647,II,Media,2013-08-05,1415000.0,11,Propio,,True,Externo,Bueno
21,EQ-00021,SN-0021-36462333,Monitor multiparámetro,Monitoreo,Spacelabs,SP-603,III,Alta,2019-04-28,3200000.0,9,Propio,,True,Interno,Regular
22,EQ-00022,SN-0022-27348076,Glucómetro,Apoyo a diagnóstico,Roche/Accu-Chek,RO-257,II,Baja,2024-06-06,53000.0,8,Propio,2025-06-30,True,Interno,Bueno
23,EQ-00023,SN-0023-56846922,Ventilador mecánico,Soporte vital,Dräger,DR-283,III,Alta,2017-11-09,23209000.0,9,Propio,2018-12-06,True,Interno,Bueno
24,EQ-00024,SN-0024-63807696,Bomba de infusión,Soporte vital,B. Braun,BB-999,III,Alta,2019-02-19,1847000.0,10,Propio,,True,Contrato,Bueno
25,EQ-00025,SN-0025-45212386,Esfigmomanómetro,Apoyo a diagnóstico,Microlife,MI-603,II,Baja,2017-03-13,307000.0,14,Propio,2019-11-06,False,Contrato,Regular
26,EQ-00026,SN-0026-29262181,Refrigerador clínico,Laboratorio,Helmer,HE-579,I,Baja,2012-08-26,6994000.0,12,Comodato,2013-10-26,True,Externo,Bueno
27,EQ-00027,SN-0027-24814744,Incubadora,Neonatología,GE HealthCare/Ohmeda,GE-925,III,Alta,2014-06-10,12569000.0,9,Propio,,True,Interno,Malo
28,EQ-00028,SN-0028-92533830,Termómetro clínico,Apoyo a diagnóstico,Riester,RI-440,II,Baja,2010-12-29,148000.0,9,Propio,2013-01-17,True,Interno,Bueno
29,EQ-00029,SN-0029-16529929,Desfibrilador,Soporte vital,ZOLL,ZO-603,III,Media,2010-06-24,6105000.0,9,Propio,2011-07-16,False,Interno,Regular
30,EQ-00030,SN-0030-98932950,Termómetro clínico,Apoyo a diagnóstico,Riester,RI-571,II,Media,2015-04-03,136000.0,12,Comodato,2016-09-28,True,Externo,Bueno
31,EQ-00031,SN-0031-64020596,Esfigmomanómetro,Apoyo a diagnóstico,A&D Medical,AD-785,II,Media,2016-08-28,84000.0,8,Comodato,2018-12-21,True,Interno,Bueno
32,EQ-00032,SN-0032-50868471,Tallímetro,Apoyo a diagnóstico,Tanita,TA-352,I,Baja,2018-11-27,165000.0,12,Propio,2020-01-12,True,Contrato,Bueno
33,EQ-00033,SN-0033-30911227,Esfigmomanómetro,Apoyo a diagnóstico,Welch Allyn/Hillrom,WE-424,II,Media,2016-04-16,214000.0,12,Propio,2017-08-26,True,Contrato,Regular
34,EQ-00034,SN-0034-17659440,Bicicleta ergométrica,Rehabilitación,Monark,MO-791,I,Baja,2012-09-12,3308000.0,9,Propio,2014-01-15,True,Externo,Bueno
35,EQ-00035,SN-0035-38284030,Incubadora,Neonatología,Dräger,DR-668,III,Media,2018-08-17,10040000.0,11,Propio,2020-02-25,False,Interno,Bueno
36,EQ-00036,SN-0036-51064647,Termómetro clínico,Apoyo a diagnóstico,Gima,GI-590,II,Baja,2025-05-20,31000.0,11,Propio,2026-06-19,True,Interno,Bueno
37,EQ-00037,SN-0037-52574591,Desfibrilador,Soporte vital,ZOLL,ZO-871,III,Alta,2010-06-08,6996000.0,10,Comodato,2011-07-09,True,Interno,Malo
38,EQ-00038,SN-0038-89918815,Monitor multiparámetro,Monitoreo,Spacelabs,SP-949,III,Baja,2015-08-06,4484000.0,13,Propio,2017-02-18,False,Interno,Bueno
39,EQ-00039,SN-0039-82930182,Bomba de infusión,Soporte vital,B. Braun,BB-371,III,Alta,2020-06-15,931000.0,13,Propio,,True,Interno,Bueno
40,EQ-00040,SN-0040-81869923,Compresor dental,Odontología,Gnatus,GN-596,I,Media,2026-01-23,2286000.0,11,Propio,,True,Interno,Bueno
41,EQ-00041,SN-0041-90136661,Centrífuga,Laboratorio,Eppendorf,EP-893,I,Media,2013-08-03,2134000.0,8,Propio,2015-12-01,True,Contrato,Bueno
42,EQ-00042,SN-0042-45077424,Bomba PCA,Soporte vital,Fresenius Kabi,FR-997,III,Alta,2018-05-25,1711000.0,7,Arriendo,,True,Interno,Bueno
43,EQ-00043,SN-0043-83895264,Microscopio,Laboratorio,Leica,LE-836,I,Media,2022-06-12,1377000.0,8,Propio,2023-06-23,True,Externo,Bueno
44,EQ-00044,SN-0044-98044118,Bomba de infusión,Soporte vital,BD/CareFusion,BD-797,III,Media,2026-02-13,1474000.0,13,Propio,2027-05-16,True,Interno,Bueno
45,EQ-00045,SN-0045-17431073,Centrífuga,Laboratorio,Eppendorf,EP-924,I,Baja,2022-11-16,3228000.0,12,Arriendo,,True,Interno,Bueno
46,EQ-00046,SN-0046-55913495,Camilla de transporte,Apoyo a diagnóstico,Malvestio,MA-434,I,Baja,2011-06-08,4744000.0,7,Propio,2013-04-17,False,Externo,Bueno
47,EQ-00047,SN-0047-50684096,Cuna radiante,Neonatología,Dräger,DR-483,II,Alta,2025-04-12,4920000.0,15,Arriendo,,True,Interno,Bueno
48,EQ-00048,SN-0048-75741534,Centrífuga,Laboratorio,Eppendorf,EP-155,I,Alta,2024-11-24,1227000.0,13,Propio,2026-04-14,True,Interno,Bueno
49,EQ-00049,SN-0049-50212544,Refrigerador clínico,Laboratorio,Thermo Fisher Scientific,TH-239,I,Media,2015-07-15,4912000.0,7,Propio,,True,Contrato,Bueno
50,EQ-00050,SN-0050-53119693,Monitor multiparámetro,Monitoreo,Spacelabs,SP-272,III,Alta,2016-06-02,3638000.0,10,Propio,2018-07-20,True,Interno,Regular
51,EQ-00051,SN-0051-80260279,Microscopio quirúrgico oftalmológico,Oftalmología,Zeiss,ZE-969,II,Baja,2010-09-19,57389000.0,15,Propio,2013-04-02,True,Interno,Bueno
52,EQ-00052,SN-0052-98947595,Bomba de infusión,Soporte vital,ICU Medical,IC-194,III,Alta,2022-06-14,1634000.0,9,Comodato,2023-08-01,True,Contrato,Bueno
53,EQ-00053,SN-0053-35423466,Bomba de infusión,Soporte vital,BD/CareFusion,BD-408,III,Alta,2016-07-03,1813000.0,13,Propio,2018-06-30,True,Contrato,Bueno
54,EQ-00054,SN-0054-11937510,Analizador bioquímico,Laboratorio,Horiba,HO-186,II,Alta,2019-07-12,19050000.0,13,Propio,,True,Interno,Bueno
55,EQ-00055,SN-0055-67632084,Bomba de infusión,Soporte vital,ICU Medical,IC-827,III,Alta,2019-12-08,1620000.0,6,Propio,,False,Interno,Bueno
56,EQ-00056,SN-0056-35693676,Termómetro clínico,Apoyo a diagnóstico,Microlife,MI-129,II,Media,2010-10-25,95000.0,13,Propio,,False,Interno,Bueno
57,EQ-00057,SN-0057-86207291,Esfigmomanómetro,Apoyo a diagnóstico,A&D Medical,AD-264,II,Media,2016-04-23,131000.0,13,Propio,,True,Contrato,Bueno
58,EQ-00058,SN-0058-31254476,Microscopio,Laboratorio,Olympus/Evident,OL-788,I,Baja,2019-12-20,3281000.0,7,Propio,2022-03-27,False,Contrato,Bueno
59,EQ-00059,SN-0059-17364344,Monitor multiparámetro,Monitoreo,Dräger,DR-510,III,Alta,2016-08-26,3920000.0,8,Comodato,2018-05-18,False,Interno,Bueno
60,EQ-00060,SN-0060-54134451,Autoclave,Esterilización,W&H,WH-329,II,Baja,2020-02-17,22820000.0,9,Propio,,False,Interno,Bueno
61,EQ-00061,SN-0061-71237105,Camilla de transporte,Apoyo a diagnóstico,Hillrom/Baxter,HI-601,I,Baja,2019-10-21,4986000.0,13,Propio,,True,Contrato,Bueno
62,EQ-00062,SN-0062-27278155,Termómetro clínico,Apoyo a diagnóstico,Riester,RI-213,II,Baja,2014-10-11,69000.0,13,Propio,,True,Interno,Bueno
63,EQ-00063,SN-0063-88484082,Glucómetro,Apoyo a diagnóstico,Gima,GI-142,II,Media,2025-01-12,32000.0,12,Propio,,True,Interno,Bueno
64,EQ-00064,SN-0064-81484565,Bomba de infusión,Soporte vital,B. Braun,BB-130,III,Alta,2011-03-30,1757000.0,13,Propio,2012-10-29,True,Interno,Bueno
65,EQ-00065,SN-0065-16456586,Camilla de transporte,Apoyo a diagnóstico,Malvestio,MA-230,I,Media,2011-12-06,3895000.0,12,Arriendo,,True,Interno,Bueno
66,EQ-00066,SN-0066-39523992,Ecógrafo,Imagenología,United Imaging,UN-730,II,Alta,2019-10-27,30291000.0,12,Propio,2022-05-06,False,Interno,Regular
67,EQ-00067,SN-0067-12436415,Ecógrafo,Imagenología,Fujifilm,FU-889,II,Media,2019-10-10,21890000.0,12,Propio,2022-05-19,True,Interno,Bueno
68,EQ-00068,SN-0068-96599222,Ecógrafo,Imagenología,Mindray,MI-303,II,Media,2014-05-16,35973000.0,10,Propio,2017-01-13,True,Interno,Regular
69,EQ-00069,SN-0069-77562259,Bomba de infusión,Soporte vital,B. Braun,BB-105,III,Alta,2015-12-16,1730000.0,12,Propio,,True,Contrato,Bueno
70,EQ-00070,SN-0070-31683465,Termómetro clínico,Apoyo a diagnóstico,Omron,OM-637,II,Media,2022-03-03,64000.0,5,Propio,,True,Externo,Bueno
71,EQ-00071,SN-0071-62801325,Monitor multiparámetro,Monitoreo,Dräger,DR-661,III,Alta,2021-10-31,3542000.0,13,Propio,2023-06-15,True,Interno,Bueno
72,EQ-00072,SN-0072-50118786,Analizador bioquímico,Laboratorio,Beckman Coulter,BE-161,II,Alta,2018-03-31,36164000.0,10,Propio,2020-04-26,True,Externo,Bueno
73,EQ-00073,SN-0073-68939523,Camilla de transporte,Apoyo a diagnóstico,Hillrom/Baxter,HI-360,I,Baja,2015-11-07,3574000.0,10,Propio,2018-06-20,False,Interno,Bueno
74,EQ-00074,SN-0074-87439354,Esfigmomanómetro,Apoyo a diagnóstico,Gima,GI-129,II,Alta,2017-10-15,222000.0,12,Propio,,False,Externo,Bueno
75,EQ-00075,SN-0075-12853726,Tallímetro,Apoyo a diagnóstico,Tanita,TA-214,I,Baja,2017-03-23,381000.0,8,Propio,,True,Externo,Bueno
76,EQ-00076,SN-0076-29340849,Monitor multiparámetro,Monitoreo,Mindray,MI-947,III,Alta,2026-04-15,3413000.0,7,Propio,2027-09-08,True,Contrato,Bueno
77,EQ-00077,SN-0077-40752896,Mesa de inspección,Esterilización,STERIS,ST-250,I,Media,2024-05-05,1685000.0,12,Propio,2025-07-23,False,Interno,Regular
78,EQ-00078,SN-0078-29172225,Termómetro clínico,Apoyo a diagnóstico,Braun,BR-758,II,Baja,2012-08-04,141000.0,15,Propio,2015-05-10,False,Interno,Baja
79,EQ-00079,SN-0079-99147506,Monitor signos vitales,Monitoreo,GE HealthCare,GE-448,II,Media,2012-06-01,1447000.0,12,Propio,2014-07-01,False,Interno,Regular
80,EQ-00080,SN-0080-55256704,Fototerapia,Neonatología,Atom Medical,AT-229,II,Media,2025-09-24,3125000.0,13,Propio,2026-12-15,True,Interno,Bueno
81,EQ-00081,SN-0081-62691430,Bomba de infusión,Soporte vital,ICU Medical,IC-462,III,Alta,2021-06-14,2298000.0,7,Propio,2024-02-01,True,Contrato,Bueno
82,EQ-00082,SN-0082-22226382,Esfigmomanómetro,Apoyo a diagnóstico,Gima,GI-387,II,Baja,2014-12-14,306000.0,12,Propio,2017-02-03,False,Interno,Bueno
83,EQ-00083,SN-0083-99183869,Centrífuga,Laboratorio,Eppendorf,EP-540,I,Media,2011-07-02,2304000.0,14,Comodato,,False,Interno,Bueno
84,EQ-00084,SN-0084-12146854,Tallímetro,Apoyo a diagnóstico,Detecto,DE-679,I,Media,2018-07-23,111000.0,14,Propio,2020-01-15,False,Interno,Bueno
85,EQ-00085,SN-0085-88964076,Tomógrafo CT,Imagenología,Canon Medical,CA-572,II,Alta,2023-06-26,540103000.0,14,Propio,,True,Externo,Bueno
86,EQ-00086,SN-0086-43881434,Fototerapia,Neonatología,GE HealthCare/Ohmeda,GE-315,II,Alta,2026-02-27,2571000.0,13,Arriendo,2028-09-12,True,Contrato,Bueno
87,EQ-00087,SN-0087-84884029,Esfigmomanómetro,Apoyo a diagnóstico,Microlife,MI-273,II,Media,2010-07-02,147000.0,13,Propio,,True,Contrato,Baja
88,EQ-00088,SN-0088-78290879,Termómetro clínico,Apoyo a diagnóstico,Microlife,MI-391,II,Media,2018-08-31,167000.0,6,Propio,2021-01-11,False,Contrato,Bueno
89,EQ-00089,SN-0089-65496059,Monitor signos vitales,Monitoreo,Edan,ED-687,II,Media,2017-07-08,1783000.0,8,Propio,,False,Interno,Bueno
90,EQ-00090,SN-0090-81130852,Esfigmomanómetro,Apoyo a diagnóstico,Welch Allyn/Hillrom,WE-556,II,Media,2025-08-15,183000.0,14,Propio,2026-09-02,True,Contrato,Bueno
91,EQ-00091,SN-0091-35829773,Electrocardiógrafo,Monitoreo,Mindray,MI-527,II,Alta,2015-12-14,1549000.0,14,Propio,,False,Contrato,Bueno
92,EQ-00092,SN-0092-79876552,Ventilador mecánico,Soporte vital,Mindray,MI-353,III,Alta,2025-07-05,33668000.0,8,Propio,,True,Interno,Bueno
93,EQ-00093,SN-0093-99698463,Camilla de transporte,Apoyo a diagnóstico,Malvestio,MA-579,I,Baja,2017-03-14,3367000.0,13,Propio,2019-10-08,True,Interno,Bueno
94,EQ-00094,SN-0094-54194550,Oftalmoscopio,Apoyo a diagnóstico,Gima,GI-480,I,Media,2016-06-25,685000.0,11,Comodato,2019-02-26,True,Interno,Regular
95,EQ-00095,SN-0095-51662161,Monitor signos vitales,Monitoreo,Philips,PH-521,II,Alta,2021-08-31,1412000.0,10,Propio,2024-04-18,True,Interno,Bueno
96,EQ-00096,SN-0096-87231252,Ventilador mecánico,Soporte vital,Hamilton Medical,HA-507,III,Alta,2011-03-25,22811000.0,14,Propio,,True,Contrato,Bueno
97,EQ-00097,SN-0097-12333323,Fototerapia,Neonatología,Medix,ME-111,II,Alta,2023-03-24,1572000.0,8,Propio,2025-10-03,True,Interno,Bueno
98,EQ-00098,SN-0098-49218723,Centrífuga,Laboratorio,Eppendorf,EP-614,I,Media,2010-09-07,2015000.0,12,Comodato,2013-01-28,True,Externo,Bueno
99,EQ-00099,SN-0099-90131836,Esfigmomanómetro,Apoyo a diagnóstico,Riester,RI-919,II,Media,2014-11-12,299000.0,13,Propio,,False,Interno,Bueno
100,EQ-00100,SN-0100-25187982,Monitor signos vitales,Monitoreo,Welch Allyn/Hillrom,WE-976,II,Alta,2021-06-09,1004000.0,8,Arriendo,2022-06-25,True,Interno,Bueno
101,EQ-00101,SN-0101-94174461,Termómetro clínico,Apoyo a diagnóstico,Gima,GI-286,II,Baja,2018-05-05,149000.0,11,Propio,2021-02-15,True,Externo,Bueno
102,EQ-00102,SN-0102-97291109,Termómetro clínico,Apoyo a diagnóstico,Riester,RI-444,II,Baja,2020-05-07,37000.0,10,Comodato,2023-02-27,False,Externo,Regular
103,EQ-00103,SN-0103-70206004,Cuna radiante,Neonatología,Atom Medical,AT-815,II,Alta,2015-07-16,8945000.0,12,Propio,2016-09-17,True,Contrato,Bueno
104,EQ-00104,SN-0104-53816509,Bomba PCA,Soporte vital,Fresenius Kabi,FR-784,III,Alta,2015-05-10,2466000.0,14,Comodato,2018-01-29,False,Interno,Bueno
105,EQ-00105,SN-0105-81105943,Desfibrilador,Soporte vital,Philips,PH-453,III,Media,2025-01-03,6219000.0,11,Propio,,True,Interno,Bueno
106,EQ-00106,SN-0106-46614399,Ecógrafo,Imagenología,Philips,PH-213,II,Alta,2025-10-09,27256000.0,8,Propio,,False,Interno,Bueno
107,EQ-00107,SN-0107-12547280,Balanza clínica,Apoyo a diagnóstico,Detecto,DE-321,I,Baja,2011-09-04,463000.0,13,Propio,,False,Interno,Bueno
108,EQ-00108,SN-0108-87584781,Autoclave,Esterilización,STERIS,ST-717,II,Alta,2018-07-31,25782000.0,7,Propio,,True,Contrato,Bueno
109,EQ-00109,SN-0109-69107232,Holter,Monitoreo,Spacelabs,SP-308,II,Media,2010-10-04,3949000.0,12,Propio,2012-01-14,False,Interno,Regular
110,EQ-00110,SN-0110-91879970,Carro de transporte estéril,Esterilización,MMM Group,MM-215,I,Alta,2023-09-11,1890000.0,9,Propio,,True,Interno,Bueno
111,EQ-00111,SN-0111-81952866,Esfigmomanómetro,Apoyo a diagnóstico,Gima,GI-339,II,Baja,2018-01-02,220000.0,12,Propio,,False,Externo,Regular
112,EQ-00112,SN-0112-15561564,Monitor multiparámetro,Monitoreo,Philips,PH-499,III,Media,2017-04-01,4231000.0,13,Propio,,True,Externo,Bueno
113,EQ-00113,SN-0113-77121524,Termómetro clínico,Apoyo a diagnóstico,Gima,GI-467,II,Media,2013-02-28,179000.0,10,Propio,,True,Interno,Bueno
114,EQ-00114,SN-0114-29193707,Ventilador mecánico,Soporte vital,Dräger,DR-659,III,Alta,2010-10-17,23322000.0,13,Propio,2013-06-08,True,Interno,Bueno
115,EQ-00115,SN-0115-22690583,Balanza clínica,Apoyo a diagnóstico,SECA,SE-594,I,Baja,2023-12-24,680000.0,15,Comodato,2025-06-06,False,Contrato,Bueno
116,EQ-00116,SN-0116-48832242,Desfibrilador,Soporte vital,Philips,PH-630,III,Alta,2011-02-18,4357000.0,12,Comodato,,True,Interno,Bueno
117,EQ-00117,SN-0117-18080415,Bomba de infusión,Soporte vital,ICU Medical,IC-853,III,Alta,2019-12-30,1354000.0,8,Propio,2021-09-22,True,Contrato,Bueno
118,EQ-00118,SN-0118-82544847,Centrífuga,Laboratorio,Hettich,HE-696,I,Media,2020-01-03,2860000.0,9,Propio,2022-10-15,False,Contrato,Bueno
119,EQ-00119,SN-0119-15529956,Ventilador neonatal,Neonatología,Dräger,DR-184,III,Alta,2021-04-16,38191000.0,15,Propio,,True,Interno,Bueno
120,EQ-00120,SN-0120-93769158,Microscopio,Laboratorio,Olympus/Evident,OL-878,I,Alta,2023-07-14,3805000.0,7,Propio,,True,Interno,Bueno
121,EQ-00121,SN-0121-83108442,Microscopio,Laboratorio,Olympus/Evident,OL-446,I,Media,2014-03-09,2448000.0,8,Propio,,True,Interno,Regular
122,EQ-00122,SN-0122-16405533,Bomba de infusión,Soporte vital,B. Braun,BB-489,III,Alta,2015-08-03,1661000.0,11,Propio,2016-09-11,True,Contrato,Bueno
123,EQ-00123,SN-0123-32989100,Monitor multiparámetro,Monitoreo,Bionet,BI-506,III,Alta,2011-03-21,3676000.0,8,Propio,2013-06-01,True,Interno,Bueno
124,EQ-00124,SN-0124-17252968,Esfigmomanómetro,Apoyo a diagnóstico,Riester,RI-198,II,Media,2019-10-01,313000.0,13,Propio,2021-05-06,True,Interno,Bueno
125,EQ-00125,SN-0125-16910922,Incubadora,Neonatología,Atom Medical,AT-871,III,Media,2023-10-22,17893000.0,12,Comodato,2024-11-06,True,Contrato,Bueno
126,EQ-00126,SN-0126-88418783,Termómetro clínico,Apoyo a diagnóstico,Riester,RI-967,II,Baja,2012-03-16,112000.0,11,Comodato,2014-10-21,True,Interno,Regular
127,EQ-00127,SN-0127-73998649,Monitor signos vitales,Monitoreo,Masimo,MA-347,II,Alta,2021-08-29,1823000.0,9,Propio,,True,Interno,Bueno
128,EQ-00128,SN-0128-99815345,Bomba PCA,Soporte vital,B. Braun,BB-568,III,Alta,2025-05-12,2576000.0,10,Arriendo,,False,Contrato,Bueno
129,EQ-00129,SN-0129-43134017,Termómetro clínico,Apoyo a diagnóstico,Braun,BR-181,II,Baja,2023-06-19,26000.0,9,Propio,2024-11-25,True,Interno,Bueno
130,EQ-00130,SN-0130-86801913,Bomba de infusión,Soporte vital,B. Braun,BB-472,III,Media,2025-12-20,1999000.0,10,Propio,2028-08-17,True,Interno,Bueno
131,EQ-00131,SN-0131-99906815,Otoscopio,Apoyo a diagnóstico,HEINE,HE-789,I,Baja,2014-07-11,328000.0,10,Propio,2016-01-25,True,Externo,Bueno
132,EQ-00132,SN-0132-72572017,Esfigmomanómetro,Apoyo a diagnóstico,Microlife,MI-747,II,Baja,2022-03-02,223000.0,13,Propio,,True,Contrato,Bueno
133,EQ-00133,SN-0133-51195498,Oftalmoscopio,Apoyo a diagnóstico,Welch Allyn/Hillrom,WE-468,I,Media,2018-09-28,864000.0,7,Propio,2021-06-22,False,Contrato,Regular
134,EQ-00134,SN-0134-16652929,Oftalmoscopio,Apoyo a diagnóstico,Welch Allyn/Hillrom,WE-859,I,Baja,2020-11-06,817000.0,11,Propio,,True,Externo,Bueno
135,EQ-00135,SN-0135-23189706,Lavadora desinfectora,Esterilización,Matachana,MA-194,II,Alta,2012-03-21,22739000.0,12,Propio,2014-02-14,True,Interno,Bueno
136,EQ-00136,SN-0136-71326088,Monitor multiparámetro,Monitoreo,Mindray,MI-539,III,Alta,2013-05-24,2681000.0,12,Comodato,,False,Interno,Bueno
137,EQ-00137,SN-0137-65438085,Selladora térmica,Esterilización,MELAG,ME-919,I,Alta,2013-04-07,1817000.0,13,Comodato,,True,Externo,Bueno
138,EQ-00138,SN-0138-39652885,Bomba de infusión,Soporte vital,B. Braun,BB-449,III,Alta,2015-07-01,1961000.0,10,Comodato,,False,Contrato,Regular
139,EQ-00139,SN-0139-20818823,Bomba de infusión,Soporte vital,Fresenius Kabi,FR-324,III,Media,2010-11-07,2219000.0,9,Propio,,True,Contrato,Bueno
140,EQ-00140,SN-0140-49629074,Campímetro,Oftalmología,Zeiss,ZE-828,II,Media,2021-10-15,22622000.0,13,Propio,2024-08-22,True,Interno,Bueno
141,EQ-00141,SN-0141-30825092,Bomba de infusión,Soporte vital,Fresenius Kabi,FR-174,III,Media,2014-11-08,1320000.0,13,Propio,2017-03-20,True,Contrato,Bueno
142,EQ-00142,SN-0142-34107356,Bomba de infusión,Soporte vital,ICU Medical,IC-554,III,Media,2015-08-02,1283000.0,10,Propio,2017-05-20,True,Externo,Bueno
143,EQ-00143,SN-0143-44166237,Monitor multiparámetro,Monitoreo,Mindray,MI-636,III,Media,2011-02-01,2076000.0,10,Arriendo,2012-03-23,False,Externo,Bueno
144,EQ-00144,SN-0144-28846945,Ecógrafo,Imagenología,Esaote,ES-204,II,Alta,2014-02-06,40172000.0,8,Comodato,,True,Contrato,Bueno
145,EQ-00145,SN-0145-61757382,Camilla de fisioterapia,Rehabilitación,BTL,BT-374,I,Baja,2022-01-23,2045000.0,14,Propio,,True,Contrato,Bueno
146,EQ-00146,SN-0146-54111598,Termómetro clínico,Apoyo a diagnóstico,Microlife,MI-661,II,Baja,2016-03-07,26000.0,12,Propio,2018-01-20,True,Externo,Bueno
147,EQ-00147,SN-0147-62686186,Monitor multiparámetro,Monitoreo,Spacelabs,SP-751,III,Alta,2024-12-16,5246000.0,12,Propio,2027-08-16,True,Contrato,Bueno
148,EQ-00148,SN-0148-49770347,Ventilador mecánico,Soporte vital,Dräger,DR-422,III,Alta,2023-08-02,33695000.0,11,Propio,2025-05-09,True,Interno,Bueno
149,EQ-00149,SN-0149-61433846,Termómetro clínico,Apoyo a diagnóstico,Omron,OM-383,II,Baja,2024-03-01,139000.0,13,Propio,,True,Contrato,Bueno
150,EQ-00150,SN-0150-98198681,Bomba de infusión,Soporte vital,B. Braun,BB-960,III,Alta,2025-10-04,2382000.0,14,Propio,,True,Externo,Bueno
151,EQ-00151,SN-0151-16339066,Camilla de transporte,Apoyo a diagnóstico,Stryker/Physio-Control,ST-350,I,Baja,2016-07-05,4114000.0,12,Propio,,False,Contrato,Bueno
152,EQ-00152,SN-0152-94984948,Termómetro clínico,Apoyo a diagnóstico,Braun,BR-272,II,Baja,2018-12-11,179000.0,13,Propio,2021-08-22,True,Contrato,Bueno
153,EQ-00153,SN-0153-20043630,Monitor multiparámetro,Monitoreo,Spacelabs,SP-641,III,Alta,2010-07-14,5211000.0,12,Comodato,,True,Interno,Bueno
154,EQ-00154,SN-0154-89233987,Máquina de anestesia,Soporte vital,GE HealthCare,GE-910,III,Alta,2022-09-30,58654000.0,11,Propio,2024-07-02,False,Contrato,Bueno
155,EQ-00155,SN-0155-44270314,Otoscopio,Apoyo a diagnóstico,Riester,RI-897,I,Baja,2022-03-24,816000.0,7,Propio,,True,Interno,Bueno
